"Title","Description","URL","State","Type of Report ","City","Zip","Latitude","Longitude"
"Title IX: Hingham Public School District Resolution Agreement","Hingham Public Schools Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01105003-b.html","Massachusetts","Title IX","Hingham",2043,42.2318299,-70.8869475
"Title IX: Merrimack College Press Release","Merrimack College Press Release","http://www.ed.gov/news/press-releases/office-civil-rights-announces-resolution-compliance-review-involving-merrimack-c","Massachusetts","Title IX","North Andover",1845,42.667705,-71.122571
"Title IX: Merrimack College Compliance Resolution","Merrimack College Compliance Resolution","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01106001-a.html","Massachusetts","Title IX","North Andover",1845,42.667705,-71.122571
"Title IX: Merrimack College Resolution Agreement","Merrimack College Resolution Agreeement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01106001-b.html","Massachusetts","Title IX","North Andover",1845,42.667705,-71.122571
"Title IX: Eastern Michigan University","Eastern Michigan University","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/15096002.html","Michigan","Title IX","Ypsilanti",48197,42.250551,-83.62469
"Clery Act Report: Eastern Michigan University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#emich","Michigan","Clery ","Ypsilanti",48197,42.250551,-83.62469
"Clery Act Report: University of Michigan",,"http://studentaid.ed.gov/about/data-center/school/clery-act#michigan","Michigan","Clery ","Ann Arbor",48109,42.278058,-83.738226
"Title IX: Anoka-Hennepin School District","Anoka-Hennepin School District","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05115901.html","Minnesota","Title IX","Anoka",55303,45.208833,-93.390967
"Consent Decree in Doe and United States v. Anoka-Hennepin School District (D. Minn.)","Sex based discrimination at educational institutions","http://www.justice.gov/crt/about/edu/documents/anokaconsentdec.pdf","Minnesota","Department of Justice ","Anoka",55303,45.208833,-93.390967
"Title IX & Title IV: Complaint in Intervention in Doe and United States v. Anoka-Hennepin School District (D. Minn.)","Sex based discrimination at educational institutions","http://www.justice.gov/crt/about/edu/documents/anokacompint.pdf","Minnesota","Department of Justice ","Anoka",55303,45.208833,-93.390967
"Clery Act Report: Minnesota State University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#msu","Minnesota","Clery ","Mankato",56001,44.147335,-93.997707
"Title IX: Complaint in Intervention in Lovins and United States v. Pleasant Hill Public School District R-III (W.D. Mo.)","Sex based discrimination at educational institutions","http://www.justice.gov/crt/about/edu/documents/lovinscom.php","Missouri","Department of Justice ","Pleasant Hill",64080,38.786501,-94.254171
"Title IX: Sexual Harassment: University of Montana-Missoula","Montana Resolution and Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/10126001.html","Montana","Title IX","Missoula",59812,46.860067,-113.985208
"Title IX & Title IV: Letter of Findings in University of Montana-Missoula (D. Mt.)","http://www.justice.gov/crt/about/spl/documents/missoulafind_5-9-13.pdf","Montana","Department of Justice ","Missoula",59812,46.860067,-113.985208
"Settlement Agreement between DOJ and University of Montana's Office of Public Safety","Settlement Agreement between DOJ and University of Montana's Office of Public Safety to implement improved policies provide increased training and modify practice in order to improve response and sexual assault and ensure that there is no gender bias.","http://www.justice.gov/crt/about/spl/documents/missoulasettle_5-9-13.pdf","Montana","Department of Justice ","Missoula",59812,46.860067,-113.985208
"Letter of Findings in University of Montana-Missoula (D. Mt.)","Sex based discrimination at educational institutions","http://www.justice.gov/crt/about/edu/documents/montanaletter.pdf","Montana","Department of Justice ","Missoula",59812,46.860067,-113.985208
"Clery Act Report: Franklin Pierce University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#fpu","New Hampshire","Clery ","Rindge",3461,42.778973,-72.055538
"Clery Act Report: The College of New Jersey",,"http://studentaid.ed.gov/about/data-center/school/clery-act#cnj","New Jersey","Clery ","Ewing Township",8618,40.268835,-74.78091
"Clery Act Report: Ramapo College of New Jersey",,"http://studentaid.ed.gov/about/data-center/school/clery-act#ramapo","New Jersey","Clery ","Mahwah",7430,41.082065,-74.174622
"Title IX: State University of New York (SUNY) Compliance Review","SUNY's Title IX Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/02116001-a.html","New York","Title IX","Albany",12246,42.6472947,-73.749841
"Title IX: State University of New York (SUNY)  Resolution Agreement","SUNY's Title IX Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/02116001-b.html","New York","Title IX","Albany",12246,42.6472947,-73.749841
"Title IX: West Contra Costa Unified School District Press Release","Press release: West Contra Costa","http://www.ed.gov/news/press-releases/us-department-education-reaches-agreement-west-contra-costa-unified-school-distr","California","Title IX","Richmond",94804,37.933832,-122.358491
"Title IX: City University of New York (CUNY) Resolution Letter","City University of New York Resolution Letter","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/02062094.html","New York","Title IX","New York",10017,40.75074,-73.973707
"Title IX: Memorandum of Law in A.B. v. Rhinebeck Central School District & Thomas Mawhinney. (S.D. N.Y.)","http://www.justice.gov/crt/about/edu/documents/rcsdreply.pdf","New York","Department of Justice ","Rhinebeck",12572,41.925146,-73.901224
"Clery Act Report: Dominican College of Blauvelt",,"http://studentaid.ed.gov/about/data-center/school/clery-act#dcb","New York","Clery ","Orangeburg",10962,41.04762,-73.95031
"Clery Act Report: Paul Smith's College of Arts & Sciences",,"http://studentaid.ed.gov/about/data-center/school/clery-act#paulsmith","New York","Clery ","Brighton",12970,44.437451,-74.25305
"Clery Act Report: Wake Forest University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#wfu","North Carolina","Clery ","Winston-Salem",27106,36.129842,-80.28145
